"CPU no",version,GHz,CC,Skylake-SP,Shelf,GHz,CC
E5-2603,v2,1.8,4,3104,Bronze,1.7,6
E5-2603,v2,1.8,4,3106,Bronze,1.7,8
E5-2603,v2,1.8,4,4108,Silver,1.8,8
E5-2603,v2,1.8,4,4110,Silver,2.1,8
E5-2603,v2,1.8,4,4114,Silver,2.2,10
E5-2603,v3,1.6,6,3104,Bronze,1.7,6
E5-2603,v3,1.6,6,3106,Bronze,1.7,8
E5-2603,v3,1.6,6,4108,Silver,1.8,8
E5-2603,v3,1.6,6,4110,Silver,2.1,8
E5-2603,v3,1.6,6,4114,Silver,2.2,10
E5-2603,v4,1.7,6,3104,Bronze,1.7,6
E5-2603,v4,1.7,6,3106,Bronze,1.7,8
E5-2603,v4,1.7,6,4108,Silver,1.8,8
E5-2603,v4,1.7,6,4110,Silver,2.1,8
E5-2603,v4,1.7,6,4114,Silver,2.2,10
E5-2609,v2,2.5,4,3106,Bronze,1.7,8
E5-2609,v2,2.5,4,4108,Silver,1.8,8
E5-2609,v2,2.5,4,4110,Silver,2.1,8
E5-2609,v2,2.5,4,4114,Silver,2.2,10
E5-2609,v2,2.5,4,4116,Silver,2.1,12
E5-2609,v2,2.5,4,5115,Gold,2.4,10
E5-2609,v3,1.9,6,3106,Bronze,1.7,8
E5-2609,v3,1.9,6,4108,Silver,1.8,8
E5-2609,v3,1.9,6,4110,Silver,2.1,8
E5-2609,v3,1.9,6,4114,Silver,2.2,10
E5-2609,v3,1.9,6,4116,Silver,2.1,12
E5-2609,v3,1.9,6,5115,Gold,2.4,10
E5-2609,v4,1.7,8,3106,Bronze,1.7,8
E5-2609,v4,1.7,8,4108,Silver,1.8,8
E5-2609,v4,1.7,8,4110,Silver,2.1,8
E5-2609,v4,1.7,8,4114,Silver,2.2,10
E5-2609,v4,1.7,8,4116,Silver,2.1,12
E5-2609,v4,1.7,8,5115,Gold,2.4,10
E5-2620,v2,2.1,6,4108,Silver,1.8,8
E5-2620,v2,2.1,6,4110,Silver,2.1,8
E5-2620,v2,2.1,6,4114,Silver,2.2,10
E5-2620,v2,2.1,6,4116,Silver,2.1,12
E5-2620,v2,2.1,6,5115,Gold,2.4,10
E5-2620,v2,2.1,6,5118,Gold,2.3,12
E5-2620,v2,2.1,6,5120,Gold,2.2,14
E5-2620,v3,2.4,6,4108,Silver,1.8,8
E5-2620,v3,2.4,6,4110,Silver,2.1,8
E5-2620,v3,2.4,6,4114,Silver,2.2,10
E5-2620,v3,2.4,6,4116,Silver,2.1,12
E5-2620,v3,2.4,6,5115,Gold,2.4,10
E5-2620,v3,2.4,6,5118,Gold,2.3,12
E5-2620,v3,2.4,6,5120,Gold,2.2,14
E5-2620,v4,2.1,8,4108,Silver,1.8,8
E5-2620,v4,2.1,8,4110,Silver,2.1,8
E5-2620,v4,2.1,8,4114,Silver,2.2,10
E5-2620,v4,2.1,8,4116,Silver,2.1,12
E5-2620,v4,2.1,8,5115,Gold,2.4,10
E5-2620,v4,2.1,8,5118,Gold,2.3,12
E5-2620,v4,2.1,8,5120,Gold,2.2,14
E5-2623,v3,3,4,4112,Silver,2.6,4
E5-2623,v3,3,4,5122,Gold,3.6,4
E5-2623,v3,3,4,6128,Gold,3.4,6
E5-2623,v4,2.6,4,4112,Silver,2.6,4
E5-2623,v4,2.6,4,5122,Gold,3.6,4
E5-2623,v4,2.6,4,6128,Gold,3.4,6
E5-2630,v2,2.6,6,4114,Silver,2.2,10
E5-2630,v2,2.6,6,4116,Silver,2.1,12
E5-2630,v2,2.6,6,5118,Gold,2.3,12
E5-2630,v2,2.6,6,5120,Gold,2.2,14
E5-2630,v2,2.6,6,6126,Gold,2.6,12
E5-2630,v3,2.4,8,4114,Silver,2.2,10
E5-2630,v3,2.4,8,4116,Silver,2.1,12
E5-2630,v3,2.4,8,5118,Gold,2.3,12
